date,title,subtitle,claps,responses,story_url
01/03/2019,A 3 step guide to assess any business use-case of AI,-,370,2,https://medium.com/swlh/a-3-step-guide-to-assess-any-business-use-case-of-ai-9111b2e233f6?source=collection_archive---------2-----------------------
01/03/2019,Fuck work. Jobs are broken.,We’re headed for a post-work world. But we must first dismantle what work…,300,0,https://medium.com/swlh/f-ck-work-jobs-are-broken-8a747307864c?source=collection_archive---------3-----------------------
01/03/2019,Anatomy of an Accelerator #1: Curriculum,-,0,0,N/A
01/03/2019,My Only Customer Called and Told Me 44% of My Product Died,-,457,5,https://medium.com/swlh/my-only-customer-called-and-told-me-44-of-my-product-died-3be8e82876ab?source=collection_archive---------5-----------------------
01/03/2019,Your Brand is What People Expect From You,Here’s what you can do about it,1.91K,14,https://medium.com/swlh/your-brand-is-what-people-expect-from-you-9ec346dd6a0e?source=collection_archive---------6-----------------------
01/03/2019,15 Bold New Year’s Resolutions For Your and My Personal Growth in 2019,"Learn from yesterday, live for…",314,2,https://medium.com/swlh/15-bold-new-years-resolutions-for-your-and-my-personal-growth-in-2019-7c8f152a3070?source=collection_archive---------7-----------------------
01/03/2019,Intro to the World of JavaScript,-,213,0,https://medium.com/swlh/intro-to-the-world-of-javascript-a801c8be0eda?source=collection_archive---------8-----------------------
01/03/2019,How To Crush A 30 Day Creative Challenge: The Myth And The Truth,What I’ve Learned From Participating,1.2K,6,https://medium.com/swlh/how-to-crush-a-30-day-creative-challenge-the-myth-and-the-truth-afcb229c0d5d?source=collection_archive---------9-----------------------
01/03/2019,How Digital Nomadism Can Solve the Global Gender Gap,-,193,1,https://medium.com/swlh/how-digital-nomadism-can-solve-the-global-gender-gap-1c95f173cf81?source=collection_archive---------10-----------------------
01/03/2019,Can Crypto Save Us from Censorship?,of Spankchain and Centralization,265,0,https://medium.com/swlh/can-crypto-save-us-from-censorship-3a06eaea770e?source=collection_archive---------11-----------------------
01/03/2019,Recursive paths with React Router,-,325,0,https://medium.com/swlh/recursive-paths-with-react-router-3ebddae98f68?source=collection_archive---------12-----------------------
01/03/2019,Learning Curve 2018,"Books, Online courses, Articles, Podcasts, Videos…other things I learnt from in…",327,2,https://medium.com/swlh/learning-curve-2018-264bc74114bc?source=collection_archive---------13-----------------------
01/03/2019,Building the solar plant of the future with cloud technologies,-,73,0,https://medium.com/swlh/building-the-solar-plant-of-the-future-with-cloud-technologies-66be12adcb3c?source=collection_archive---------14-----------------------
01/03/2019,3 Steps To Finding The All-Important ’20 Percent’ That Will Skyrocket Your Business’s Success,-,210,1,https://medium.com/swlh/3-steps-to-finding-the-all-important-20-percent-that-will-skyrocket-your-business-s-success-b7a861d76180?source=collection_archive---------15-----------------------
01/03/2019,How To Be So Good They Can’t Ignore You,-,692,4,https://medium.com/swlh/how-to-be-so-good-they-cant-ignore-you-de574f43044f?source=collection_archive---------16-----------------------
01/03/2019,4 Reasons to Rock Motherhood and Your Own Business,-,34,0,https://medium.com/swlh/4-reasons-to-rock-motherhood-and-your-own-business-b306c09ebfcb?source=collection_archive---------17-----------------------
01/03/2019,Curing The Cancer of Doubt,Transforming Doubt into Belief,450,2,https://medium.com/swlh/curing-the-cancer-of-doubt-993d9af0b2f4?source=collection_archive---------18-----------------------
01/03/2019,Why It’s Time To Ditch The Resume,Let me tell you a quick story.,440,1,https://medium.com/swlh/why-its-time-to-ditch-the-resume-already-33c9d544d7da?source=collection_archive---------19-----------------------
01/03/2019,A Glass of Work-life balance? For me?,"No, thanks.",680,12,https://medium.com/swlh/a-glass-of-work-life-balance-for-me-89048e33eebe?source=collection_archive---------20-----------------------
01/03/2019,Rockefeller’s Holy Crusade,From 26 Broadway to the world.,27,0,https://medium.com/swlh/rockefellers-holy-crusade-3ed9a8c81c0a?source=collection_archive---------21-----------------------
01/03/2019,9 Ways Non-Tech Companies Can Prevent Death In The Digital Age,-,249,1,https://medium.com/swlh/9-ways-non-tech-companies-can-prevent-death-in-the-digital-age-55e72a611c7?source=collection_archive---------22-----------------------
01/03/2019,The future of AI: The human component Part 2,-,449,0,https://medium.com/swlh/the-future-of-ai-the-human-component-part-2-52a70a998f26?source=collection_archive---------23-----------------------
01/03/2019,"I love the New Year, I hate the New Year",-,218,0,https://medium.com/swlh/i-love-the-new-year-i-hate-the-new-year-4b7e1280ba97?source=collection_archive---------24-----------------------
01/03/2019,Not Every Business Can Expand,Don’t kill your business by pushing for a fantasy result,60,1,https://medium.com/swlh/not-every-business-can-expand-b8c24f071d66?source=collection_archive---------25-----------------------
01/03/2019,In Advance of the CES Trek,-,63,0,https://medium.com/swlh/in-advance-of-the-ces-trek-abd2b189d3d9?source=collection_archive---------26-----------------------
01/04/2019,"If You Want To Be Rich, Stop Focusing On Your Salary (Do This Instead)",-,35K,184,https://medium.com/swlh/if-you-want-to-be-rich-stop-focusing-on-your-salary-do-this-instead-b7fcb0afc485?source=collection_archive---------0-----------------------
01/04/2019,3 Steps to Learn React Native in 2019,-,552,2,https://medium.com/swlh/3-steps-to-learn-react-native-in-2019-5cdb3d1e1c84?source=collection_archive---------1-----------------------
01/04/2019,Top 10 Augmented Reality (AR) App Development Companies in the US,-,214,22,https://medium.com/swlh/top-10-augmented-reality-ar-app-development-companies-in-the-us-60d3b3dce43c?source=collection_archive---------2-----------------------
01/04/2019,Read with purpose: how to better understand and retain what you read,-,2.2K,5,https://medium.com/swlh/read-with-purpose-how-to-better-understand-and-retain-what-you-read-57c9c3db1137?source=collection_archive---------3-----------------------
01/04/2019,How Leaders Channel Their Sex Energy To Be More Magnetic,-,1K,1,https://medium.com/swlh/how-leaders-channel-their-sex-energy-to-be-more-magnetic-dc98d0384c99?source=collection_archive---------4-----------------------
01/04/2019,The Surprising Risks of Being Nice,"A Story about Politics, The Business World & Projectile Throw-Up",325,7,https://medium.com/swlh/the-surprising-risks-of-being-nice-be6352e8ae2?source=collection_archive---------5-----------------------
01/04/2019,How To Adjust To A New Managerial Position,-,293,4,https://medium.com/swlh/how-to-adjust-to-a-new-managerial-position-559937915ec8?source=collection_archive---------6-----------------------
01/04/2019,The Ultimate Life Hack to Read 25 Books a Year Effortlessly,And Memorize Them Better,134,2,https://medium.com/swlh/the-ultimate-life-hack-to-read-25-books-a-year-effortlessly-d489a325b6d4?source=collection_archive---------7-----------------------
01/04/2019,Rise of the Transformers,"Is VC keeping up with entrepreneurship at large? Tremors, groanings, and the…",177,1,https://medium.com/swlh/rise-of-the-transformers-db7887c26689?source=collection_archive---------8-----------------------
01/04/2019,Designing Confrontation,Because where there is confrontation there is growth,286,1,https://medium.com/swlh/designing-confrontation-c18a83c57e76?source=collection_archive---------9-----------------------
01/04/2019,Life’s Astonishing When You Stop Struggling — Just “Be”,"We Get So Caught Up In Striving, We Forget To…",874,2,https://medium.com/swlh/lifes-astonishing-when-you-stop-struggling-just-be-386abc6358be?source=collection_archive---------10-----------------------
01/04/2019,How To Convert Traffic into Sales with Lead Conversion Strategy,-,9,0,https://medium.com/swlh/how-to-convert-traffic-into-sales-with-lead-conversion-strategy-2ae5be4b4062?source=collection_archive---------11-----------------------
01/04/2019,How ‘Dr.Alexa’ will Reshape Healthcare,"Talking is the new typing, and why not?",77,0,https://medium.com/swlh/redefining-healthcare-with-dr-alexa-2e053110bee6?source=collection_archive---------12-----------------------
01/04/2019,Software Development Principles,-,81,1,https://medium.com/swlh/software-development-principles-9af2563d16d6?source=collection_archive---------13-----------------------
01/04/2019,Find your ROSETTA stone,Take outstanding actions on the right place and right time,537,2,https://medium.com/swlh/find-your-rosetta-stone-ab73ed4c5b7a?source=collection_archive---------14-----------------------
01/04/2019,First Step into JavaScript— Part 1,-,100,2,https://medium.com/swlh/first-step-into-javascript-part-1-b6b46692dee?source=collection_archive---------15-----------------------
01/04/2019,Finally Nailing Those Resolutions,-,103,0,https://medium.com/swlh/finally-nailing-those-resolutions-309a4cb2b770?source=collection_archive---------16-----------------------
